1200;1050;900;1200;1050;900;1200;1050;900
10;10;10;1;1;1;0.1;0.1;0.1
1.50E+13;2.40E+13;3.65E+13;1.08E+13;1.86E+13;2.97E+13;5.90E+12;1.40E+13;2.02E+13
1.52E+13;2.43E+13;3.70E+13;1.09E+13;1.88E+13;3.00E+13;5.87E+12;1.41E+13;2.04E+13
1.53E+13;2.45E+13;3.74E+13;1.09E+13;1.90E+13;3.04E+13;5.84E+12;1.42E+13;2.06E+13
1.54E+13;2.48E+13;3.79E+13;1.10E+13;1.91E+13;3.08E+13;5.82E+12;1.44E+13;2.08E+13
1.55E+13;2.51E+13;3.83E+13;1.10E+13;1.93E+13;3.11E+13;5.79E+12;1.45E+13;2.10E+13
1.56E+13;2.53E+13;3.88E+13;1.11E+13;1.95E+13;3.15E+13;5.76E+12;1.46E+13;2.13E+13
1.57E+13;2.56E+13;3.93E+13;1.12E+13;1.97E+13;3.19E+13;5.73E+12;1.47E+13;2.15E+13
1.58E+13;2.58E+13;3.97E+13;1.12E+13;1.98E+13;3.22E+13;5.71E+12;1.48E+13;2.17E+13
1.59E+13;2.61E+13;4.02E+13;1.13E+13;2.00E+13;3.26E+13;5.68E+12;1.49E+13;2.19E+13
1.60E+13;2.63E+13;4.06E+13;1.13E+13;2.02E+13;3.29E+13;5.65E+12;1.50E+13;2.21E+13
1.61E+13;2.65E+13;4.11E+13;1.14E+13;2.03E+13;3.33E+13;5.63E+12;1.51E+13;2.23E+13
1.62E+13;2.68E+13;4.15E+13;1.14E+13;2.05E+13;3.36E+13;5.60E+12;1.52E+13;2.25E+13
1.63E+13;2.70E+13;4.20E+13;1.15E+13;2.07E+13;3.40E+13;5.57E+12;1.53E+13;2.27E+13
1.64E+13;2.73E+13;4.24E+13;1.15E+13;2.08E+13;3.43E+13;5.55E+12;1.54E+13;2.29E+13
1.65E+13;2.75E+13;4.29E+13;1.16E+13;2.10E+13;3.47E+13;5.53E+12;1.55E+13;2.31E+13
1.66E+13;2.77E+13;4.33E+13;1.16E+13;2.11E+13;3.50E+13;5.50E+12;1.56E+13;2.33E+13
1.67E+13;2.80E+13;4.38E+13;1.17E+13;2.13E+13;3.54E+13;5.48E+12;1.57E+13;2.35E+13
1.68E+13;2.82E+13;4.42E+13;1.17E+13;2.15E+13;3.57E+13;5.46E+12;1.58E+13;2.37E+13
1.69E+13;2.84E+13;4.47E+13;1.18E+13;2.16E+13;3.61E+13;5.43E+12;1.59E+13;2.39E+13
1.70E+13;2.87E+13;4.51E+13;1.18E+13;2.18E+13;3.64E+13;5.41E+12;1.60E+13;2.41E+13
1.71E+13;2.89E+13;4.56E+13;1.19E+13;2.19E+13;3.67E+13;5.39E+12;1.61E+13;2.43E+13
1.71E+13;2.91E+13;4.60E+13;1.19E+13;2.21E+13;3.71E+13;5.37E+12;1.62E+13;2.44E+13
1.72E+13;2.93E+13;4.65E+13;1.20E+13;2.22E+13;3.74E+13;5.36E+12;1.63E+13;2.46E+13
1.73E+13;2.96E+13;4.69E+13;1.20E+13;2.24E+13;3.78E+13;5.34E+12;1.64E+13;2.48E+13
1.74E+13;2.98E+13;4.73E+13;1.20E+13;2.25E+13;3.81E+13;5.32E+12;1.65E+13;2.50E+13
1.75E+13;3.00E+13;4.78E+13;1.21E+13;2.26E+13;3.84E+13;5.31E+12;1.65E+13;2.52E+13
1.76E+13;3.02E+13;4.82E+13;1.21E+13;2.28E+13;3.88E+13;5.29E+12;1.66E+13;2.54E+13
